date,cases,deaths,new_cases,new_deaths,death_rate,percent_case_increase,percent_death_increase,days_gt_10,days_gt_100
2020-02-25,0,0,NA,NA,NaN,NA,NA,NA,NA
2020-02-26,1,0,1,0,0,Inf,NaN,NA,NA
2020-02-27,1,0,0,0,0,0,NaN,NA,NA
2020-02-28,1,0,0,0,0,0,NaN,NA,NA
2020-02-29,2,0,1,0,0,100,NaN,NA,NA
2020-03-01,2,0,0,0,0,0,NaN,NA,NA
2020-03-02,2,0,0,0,0,0,NaN,NA,NA
2020-03-03,2,0,0,0,0,0,NaN,NA,NA
2020-03-04,3,0,1,0,0,50,NaN,NA,NA
2020-03-05,7,0,4,0,0,133.33333333333334,NaN,NA,NA
2020-03-06,13,0,6,0,0,85.71428571428572,NaN,0,NA
2020-03-07,19,0,6,0,0,46.153846153846146,NaN,1,NA
2020-03-08,25,0,6,0,0,31.578947368421062,NaN,2,NA
2020-03-09,25,0,0,0,0,0,NaN,3,NA
2020-03-10,34,0,9,0,0,36.00000000000001,NaN,4,NA
2020-03-11,52,0,18,0,0,52.941176470588225,NaN,5,NA
2020-03-12,77,0,25,0,0,48.07692307692308,NaN,6,NA
2020-03-13,98,0,21,0,0,27.27272727272727,NaN,7,NA
2020-03-14,121,0,23,0,0,23.469387755102034,NaN,8,0
2020-03-15,200,0,79,0,0,65.28925619834712,NaN,9,1
2020-03-16,234,0,34,0,0,16.999999999999993,NaN,10,2
2020-03-17,291,1,57,1,0.003436426116838488,24.35897435897436,Inf,11,3
2020-03-18,428,4,137,3,0.009345794392523364,47.079037800687296,300,12,4
2020-03-19,621,6,193,2,0.00966183574879227,45.09345794392523,50,13,5
2020-03-20,904,11,283,5,0.012168141592920354,45.571658615136876,83.33333333333333,14,6
2020-03-21,1128,18,224,7,0.015957446808510637,24.778761061946895,63.63636363636365,15,7
2020-03-22,1546,25,418,7,0.016170763260025874,37.05673758865249,38.888888888888886,16,8
2020-03-23,1891,34,345,9,0.017979904812268643,22.315653298835713,36.00000000000001,17,9
2020-03-24,2201,46,310,12,0.020899591094956836,16.393442622950815,35.29411764705883,18,10
2020-03-25,2433,57,232,11,0.02342786683107275,10.5406633348478,23.913043478260864,19,11
2020-03-26,2915,77,482,20,0.026415094339622643,19.810933004521168,35.08771929824561,20,12
2020-03-27,3417,92,502,15,0.026924202516827627,17.221269296740992,19.480519480519476,21,13
2020-03-28,3903,114,486,22,0.029208301306687164,14.223002633889381,23.913043478260864,22,14
2020-03-29,4256,136,353,22,0.03195488721804511,9.044324878298738,19.298245614035082,23,15
2020-03-30,4579,159,323,23,0.034723738807599915,7.589285714285721,16.91176470588236,24,16
2020-03-31,5717,201,1138,42,0.035158299807591394,24.85258790128848,26.415094339622634,25,17
2020-04-01,6834,241,1117,40,0.03526485220954053,19.53821934581075,19.90049751243781,26,18
2020-04-02,7910,299,1076,58,0.037800252844500636,15.744805384840511,24.06639004149378,27,19
2020-04-03,9056,359,1146,60,0.03964222614840989,14.487989886219976,20.06688963210703,28,20
2020-04-04,10278,432,1222,73,0.04203152364273205,13.493816254416968,20.334261838440113,29,21
2020-04-05,11130,486,852,54,0.04366576819407008,8.289550496205479,12.5,30,22
2020-04-06,12056,553,926,67,0.045869276708692765,8.319856244384539,13.786008230452683,31,23
2020-04-07,13717,667,1661,114,0.048625792811839326,13.777372262773714,20.614828209764923,32,24
2020-04-08,15927,800,2210,133,0.05022917059082062,16.111394619814835,19.940029985007502,33,25
2020-04-09,17857,941,1930,141,0.05269642157137257,12.117787405035486,17.625,34,26
2020-04-10,19638,1056,1781,115,0.05377329666972197,9.973679789438306,12.221041445270986,35,27
2020-04-11,20727,1124,1089,68,0.05422878371206639,5.545371219065087,6.439393939393945,36,28
2020-04-12,22169,1223,1442,99,0.0551671252650097,6.957109084768653,8.807829181494654,37,29
2020-04-13,23430,1328,1261,105,0.05667947076397781,5.688123054716043,8.585445625511046,38,30
2020-04-14,25262,1532,1832,204,0.06064444620378434,7.819035424669218,15.36144578313252,39,31
2020-04-15,28320,1736,3058,204,0.06129943502824859,12.105138152165317,13.315926892950403,40,32
2020-04-16,30425,1924,2105,188,0.06323746918652424,7.432909604519766,10.829493087557607,41,33
2020-04-17,33682,2141,3257,217,0.06356510896027552,10.705012325390296,11.278586278586289,42,34
