state,date,cases,deaths,new_cases,new_deaths,death_rate,percent_case_increase,percent_death_increase,days_gt_10,days_gt_100
RO,2020-02-25,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-02-26,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-02-27,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-02-28,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-02-29,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-01,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-02,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-03,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-04,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-05,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-06,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-07,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-08,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-09,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-10,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-11,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-12,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-13,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-14,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-15,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-16,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-17,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-18,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-19,0,0,0,0,NaN,NaN,NaN,NA,NA
RO,2020-03-20,1,0,1,0,0,Inf,NaN,NA,NA
RO,2020-03-21,1,0,0,0,0,0,NaN,NA,NA
RO,2020-03-22,3,0,2,0,0,200,NaN,NA,NA
RO,2020-03-23,3,0,0,0,0,0,NaN,NA,NA
RO,2020-03-24,3,0,0,0,0,0,NaN,NA,NA
RO,2020-03-25,5,0,2,0,0,66.66666666666667,NaN,NA,NA
RO,2020-03-26,5,0,0,0,0,0,NaN,NA,NA
RO,2020-03-27,6,0,1,0,0,19.999999999999996,NaN,NA,NA
RO,2020-03-28,6,0,0,0,0,0,NaN,NA,NA
RO,2020-03-29,6,0,0,0,0,0,NaN,NA,NA
RO,2020-03-30,6,0,0,0,0,0,NaN,NA,NA
RO,2020-03-31,8,1,2,1,0.125,33.33333333333333,Inf,NA,NA
RO,2020-04-01,9,1,1,0,0.1111111111111111,12.5,0,NA,NA
RO,2020-04-02,10,1,1,0,0.1,11.111111111111116,0,0,NA
RO,2020-04-03,10,1,0,0,0.1,0,0,1,NA
RO,2020-04-04,11,1,1,0,0.09090909090909091,10.000000000000009,0,2,NA
RO,2020-04-05,12,1,1,0,0.08333333333333333,9.090909090909083,0,3,NA
RO,2020-04-06,14,1,2,0,0.07142857142857142,16.666666666666675,0,4,NA
RO,2020-04-07,18,1,4,0,0.05555555555555555,28.57142857142858,0,5,NA
RO,2020-04-08,18,1,0,0,0.05555555555555555,0,0,6,NA
RO,2020-04-09,28,2,10,1,0.07142857142857142,55.55555555555556,100,7,NA
RO,2020-04-10,32,2,4,0,0.0625,14.28571428571428,0,8,NA
RO,2020-04-11,33,2,1,0,0.06060606060606061,3.125,0,9,NA
RO,2020-04-12,35,2,2,0,0.05714285714285714,6.060606060606055,0,10,NA
RO,2020-04-13,42,2,7,0,0.047619047619047616,19.999999999999996,0,11,NA
RO,2020-04-14,64,2,22,0,0.03125,52.38095238095237,0,12,NA
RO,2020-04-15,69,2,5,0,0.028985507246376812,7.8125,0,13,NA
RO,2020-04-16,76,3,7,1,0.039473684210526314,10.144927536231885,50,14,NA
RO,2020-04-17,92,3,16,0,0.03260869565217391,21.052631578947366,0,15,NA
RO,2020-04-18,110,3,18,0,0.02727272727272727,19.565217391304344,0,16,0
RO,2020-04-19,128,4,18,1,0.03125,16.36363636363636,33.33333333333333,17,1
RO,2020-04-20,160,4,32,0,0.025,25,0,18,2
RO,2020-04-21,199,4,39,0,0.020100502512562814,24.374999999999993,0,19,3
RO,2020-04-22,223,5,24,1,0.02242152466367713,12.060301507537696,25,20,4
RO,2020-04-23,250,5,27,0,0.02,12.107623318385642,0,21,5
RO,2020-04-24,290,5,40,0,0.017241379310344827,15.999999999999993,0,22,6
RO,2020-04-25,328,7,38,2,0.021341463414634148,13.103448275862073,39.99999999999999,23,7
RO,2020-04-26,364,10,36,3,0.027472527472527472,10.97560975609757,42.85714285714286,24,8
AC,2020-02-25,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-02-26,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-02-27,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-02-28,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-02-29,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-01,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-02,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-03,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-04,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-05,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-06,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-07,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-08,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-09,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-10,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-11,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-12,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-13,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-14,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-15,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-16,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-17,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-18,0,0,0,0,NaN,NaN,NaN,NA,NA
AC,2020-03-19,3,0,3,0,0,Inf,NaN,NA,NA
AC,2020-03-20,7,0,4,0,0,133.33333333333334,NaN,NA,NA
AC,2020-03-21,9,0,2,0,0,28.57142857142858,NaN,NA,NA
AC,2020-03-22,11,0,2,0,0,22.222222222222232,NaN,0,NA
AC,2020-03-23,11,0,0,0,0,0,NaN,1,NA
AC,2020-03-24,17,0,6,0,0,54.54545454545454,NaN,2,NA
AC,2020-03-25,23,0,6,0,0,35.29411764705883,NaN,3,NA
AC,2020-03-26,24,0,1,0,0,4.347826086956519,NaN,4,NA
AC,2020-03-27,25,0,1,0,0,4.166666666666674,NaN,5,NA
AC,2020-03-28,25,0,0,0,0,0,NaN,6,NA
AC,2020-03-29,34,0,9,0,0,36.00000000000001,NaN,7,NA
AC,2020-03-30,42,0,8,0,0,23.529411764705888,NaN,8,NA
AC,2020-03-31,42,0,0,0,0,0,NaN,9,NA
AC,2020-04-01,43,0,1,0,0,2.3809523809523725,NaN,10,NA
AC,2020-04-02,43,0,0,0,0,0,NaN,11,NA
AC,2020-04-03,46,0,3,0,0,6.976744186046502,NaN,12,NA
AC,2020-04-04,46,0,0,0,0,0,NaN,13,NA
AC,2020-04-05,48,0,2,0,0,4.347826086956519,NaN,14,NA
AC,2020-04-06,50,0,2,0,0,4.166666666666674,NaN,15,NA
AC,2020-04-07,50,1,0,1,0.02,0,Inf,16,NA
AC,2020-04-08,54,2,4,1,0.037037037037037035,8.000000000000007,100,17,NA
AC,2020-04-09,62,2,8,0,0.03225806451612903,14.814814814814813,0,18,NA
AC,2020-04-10,70,2,8,0,0.02857142857142857,12.903225806451623,0,19,NA
